2025-05-05 10:12:18 | LOGIN | u | 10.68.121.184 | SUCCESS
2025-05-05 10:12:29 | MOUSE | u | 10.68.121.184 | SUCCESS
2025-05-05 10:12:30 | SCREEN | u | 10.68.121.184 | SUCCESS
2025-05-05 10:12:46 | MOUSE | u | 10.68.121.184 | SUCCESS
2025-05-05 10:14:28 | MOUSE | u | 10.68.121.184 | SUCCESS
2025-05-05 10:15:37 | MOUSE | u | 10.68.121.184 | SUCCESS
2025-05-05 10:16:00 | MOUSE | u | 10.68.121.184 | SUCCESS
2025-05-05 10:26:06 | MOUSE | u | 10.68.121.184 | SUCCESS
2025-05-05 10:26:45 | MOUSE | u | 10.68.121.184 | SUCCESS
2025-05-05 10:27:06 | MOUSE | u | 10.68.121.184 | SUCCESS
2025-05-05 11:29:56 | REGISTER | dem | 10.68.121.184 | SUCCESS
2025-05-05 11:30:04 | LOGIN | dem | 10.68.121.184 | SUCCESS
2025-05-05 11:30:20 | MOUSE | dem | 10.68.121.184 | SUCCESS
2025-05-05 11:30:21 | SCREEN | dem | 10.68.121.184 | SUCCESS
2025-05-05 11:30:32 | MOUSE | dem | 10.68.121.184 | SUCCESS
2025-05-05 11:32:51 | MOUSE | dem | 10.68.121.184 | SUCCESS
